Title,Price,URL
No Title,"$359,500",https://www.realtor.com/realestateandhomes-detail/5415-S-Narragansett-Ave_Chicago_IL_60638_M76800-26387?from=srp-list-card
No Title,"$134,900",https://www.realtor.com/realestateandhomes-detail/6425-S-Oak-Park-Ave-Apt-1_Chicago_IL_60638_M72495-17959?from=srp-list-card
No Title,"$325,900",https://www.realtor.com/realestateandhomes-detail/5207-S-Mason-Ave_Chicago_IL_60638_M73039-63166?from=srp-list-card
No Title,"$329,900",https://www.realtor.com/realestateandhomes-detail/5404-S-Lotus-Ave_Chicago_IL_60638_M83562-93372?from=srp-list-card
No Title,"$530,000",https://www.realtor.com/realestateandhomes-detail/7022-W-64th-St_Chicago_IL_60638_M81305-86153?from=srp-list-card
No Title,"$369,900",https://www.realtor.com/realestateandhomes-detail/5522-S-Nordica-Ave_Chicago_IL_60638_M73612-78186?from=srp-list-card
No Title,"$219,900",https://www.realtor.com/realestateandhomes-detail/6248-S-Gullikson-Rd-Apt-2E_Chicago_IL_60638_M89442-87120?from=srp-list-card
No Title,"$230,000",https://www.realtor.com/realestateandhomes-detail/5157-W-63rd-Pl_Chicago_IL_60638_M86982-08394?from=srp-list-card
No Title,"$479,900",https://www.realtor.com/realestateandhomes-detail/5138-S-Neenah-Ave_Chicago_IL_60638_M74676-10515?from=srp-list-card
No Title,"$275,000",https://www.realtor.com/realestateandhomes-detail/6146-W-54th-St_Chicago_IL_60638_M70238-29238?from=srp-list-card
No Title,"$287,900",https://www.realtor.com/realestateandhomes-detail/5322-S-Mulligan-Ave_Chicago_IL_60638_M76592-69257?from=srp-list-card
No Title,"$270,873",https://www.realtor.com/realestateandhomes-detail/6142-W-63rd-Pl_Chicago_IL_60638_M72535-42681?from=srp-list-card
